etape,step_cost,step_time,euro_per_prise_marginal,h_per_prise_marginal,cost_cum,time_cum,prises_cum,note
165,18990.69024826881,105.50383471260449,2712.955749752687,15.071976387514926,223964.7859002501,1014.343139735776,1053,
166,30874.686530321676,150.68211842666423,3859.3358162902096,18.83526480333303,254839.4724305718,1165.0252581624402,1061,
167,14540.099780428589,77.09296977827898,2077.1571114897984,11.013281396896998,269379.57221100037,1242.1182279407192,1068,
168,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1072,
169,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1076,
170,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1080,
171,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1084,
172,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1088,
173,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1092,
174,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1096,
175,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1100,
176,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1104,
177,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1108,
178,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1112,
179,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1116,
180,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1120,
181,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1124,
182,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1128,
183,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1132,
184,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1136,
185,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1140,
186,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1144,
187,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1148,
188,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1152,
189,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1156,
190,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1160,
191,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1164,
192,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1168,
193,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1172,
194,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1176,
195,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1180,
196,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1184,
197,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1188,
198,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1192,
199,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1196,
200,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1200,
201,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1204,
202,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1208,
203,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1212,
204,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1216,
205,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1220,
206,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1224,
207,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1228,
208,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1232,
209,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1236,
210,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1240,
211,0.0,0.0,0.0,0.0,269379.57221100037,1242.1182279407192,1244,
212,13689.65046777896,63.29690389417812,2281.608411296493,10.54948398236302,283069.22267877933,1305.4151318348972,1250,
213,14573.769115695948,79.27533126124621,2428.961519282658,13.212555210207702,297642.9917944753,1384.6904630961435,1256,
214,16148.233437834475,69.1636323652628,2691.372239639079,11.527272060877133,313791.2252323098,1453.8540954614064,1262,
215,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1265,
216,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1268,
217,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1271,
218,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1274,
219,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1277,
220,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1280,
221,0.0,0.0,0.0,0.0,313791.2252323098,1453.8540954614064,1283,
