etape,step_cost,step_time,euro_per_prise_marginal,h_per_prise_marginal,cost_cum,time_cum,prises_cum,note
24,5619.42634442935,22.4777053777174,1123.8852688858701,4.49554107554348,354680.81097248505,1646.7727573472102,152,
25,20294.061070636693,94.86308667724003,3382.343511772782,15.810514446206673,374974.8720431217,1741.6358440244503,158,
26,13420.373244887322,55.59281773692445,2684.074648977464,11.118563547384891,388395.24528800906,1797.2286617613747,163,
27,8465.104710900921,33.86041884360368,2116.2761777252304,8.46510471090092,396860.34999891,1831.0890806049783,167,
28,24451.722206423598,121.879570006331,4075.287034403933,20.313261667721832,421312.07220533356,1952.9686506113094,173,
29,8056.301056853166,44.757228093628704,2014.0752642132916,11.189307023407176,429368.3732621867,1997.7258787049382,177,
30,10580.306905273364,42.321227621093456,2645.076726318341,10.580306905273364,439948.68016746006,2040.0471063260316,181,
31,41667.99377463896,216.40473527125644,5208.49922182987,27.050591908907055,481616.67394209903,2256.451841597288,189,
32,3565.844468595045,14.26337787438018,1188.614822865015,4.754459291460059,485182.5184106941,2270.715219471668,192,
33,11380.54463315601,51.75462211075655,2845.1361582890027,12.938655527689138,496563.0630438501,2322.4698415824246,196,
34,28331.434193366385,126.44780068754892,4721.905698894398,21.07463344792482,524894.4972372166,2448.9176422699734,202,
35,18187.61964111698,90.68561810479261,3637.523928223396,18.137123620958523,543082.1168783335,2539.603260374766,207,
36,11723.021386204478,60.59987882471439,2930.7553465511196,15.149969706178597,554805.138264538,2600.20313919948,211,
37,2551.8563928878502,10.2074255715514,1275.9281964439251,5.1037127857757,557356.9946574259,2610.4105647710317,213,
38,8015.062747545303,39.2031539652372,2671.687582515101,13.067717988412399,565372.0574049712,2649.6137187362688,216,
39,25375.117681493197,101.50047072597278,5075.02353629864,20.300094145194556,590747.1750864644,2751.1141894622415,221,
40,2583.62188073694,10.33448752294776,645.905470184235,2.58362188073694,593330.7969672013,2761.448676985189,225,
41,24015.793920276785,125.82532076446986,4803.158784055357,25.165064152893972,617346.5908874781,2887.273997749659,230,
42,7420.66194286908,41.225899682606,2473.55398095636,13.741966560868667,624767.2528303472,2928.499897432265,233,
43,8361.11578877827,45.85557793460031,2787.0385962594232,15.28519264486677,633128.3686191255,2974.355475366865,236,
44,36324.05843439777,178.41661437425392,6054.009739066295,29.736102395708986,669452.4270535232,3152.772089741119,242,
45,4324.98673122846,17.29994692491384,1081.246682807115,4.32498673122846,673777.4137847517,3170.072036666033,246,
46,8229.168144231886,32.91667257692754,2057.2920360579715,8.229168144231885,682006.5819289836,3202.9887092429603,250,
47,5798.312183329945,28.1744986085552,1932.7707277766483,9.391499536185067,687804.8941123135,3231.1632078515154,253,
48,4124.042149601445,16.49616859840578,2062.0210748007225,8.24808429920289,691928.9362619149,3247.659376449921,255,
49,5163.872133712144,23.50388512095282,2581.936066856072,11.75194256047641,697092.8083956271,3271.163261570874,257,
50,25294.294953511817,106.82662488160608,5058.858990702363,21.365324976321215,722387.1033491389,3377.9898864524803,262,
51,5379.8362692415,21.519345076966,2689.91813462075,10.759672538483,727766.9396183804,3399.5092315294464,264,
52,6576.851624644834,26.30740649857934,3288.425812322417,13.15370324928967,734343.7912430252,3425.816638028026,266,
53,6388.306553880195,30.2063918004498,3194.1532769400974,15.1031959002249,740732.0977969054,3456.0230298284755,268,
54,5935.423168169732,30.61384703304593,2967.711584084866,15.306923516522964,746667.5209650751,3486.6368768615216,270,
55,6195.87427323843,34.4215237402135,3097.937136619215,17.21076187010675,752863.3952383136,3521.0584006017352,272,
56,21125.102689788968,112.36455543632434,5281.275672447242,28.091138859081084,773988.4979281025,3633.4229560380595,276,
57,4524.92301736397,18.09969206945588,4524.92301736397,18.09969206945588,778513.4209454665,3651.5226481075156,277,
58,3419.7201580865312,18.99844532270295,3419.7201580865312,18.99844532270295,781933.141103553,3670.5210934302186,278,
59,36688.070974921386,199.44605481485007,6114.678495820231,33.24100913580835,818621.2120784743,3869.9671482450685,284,
60,4435.642079364231,24.642455996467948,739.2736798940385,4.107075999411324,823056.8541578386,3894.6096042415365,290,
61,6238.4918419134,24.9539673676536,6238.4918419134,24.9539673676536,829295.345999752,3919.56357160919,291,
62,15133.065300353626,73.434686240064,7566.532650176813,36.717343120032,844428.4113001056,3992.998257849254,293,
63,14319.169334877988,77.24590188421195,7159.584667438994,38.62295094210597,858747.5806349836,4070.244159733466,295,
64,15726.438201926321,79.9842628426773,7863.219100963161,39.99213142133865,874474.0188369099,4150.228422576143,297,
65,4664.78165030764,18.65912660123056,4664.78165030764,18.65912660123056,879138.8004872175,4168.887549177373,298,
66,26386.031275670037,117.76179174220485,8795.343758556679,39.25393058073495,905524.8317628875,4286.649340919578,301,
67,16186.896123339531,81.68989006438206,8093.448061669766,40.84494503219103,921711.7278862271,4368.33923098396,303,
68,8038.781084988805,39.7432418457824,8038.781084988805,39.7432418457824,929750.5089712159,4408.082472829742,304,
69,47310.27359140587,201.2592987793719,11827.568397851468,50.314824694842976,977060.7825626218,4609.341771609114,308,
70,7506.160268461124,40.032854765126,2502.0534228203746,13.344284921708665,984566.9428310829,4649.3746263742405,311,
71,11524.23459169503,46.09693836678012,11524.23459169503,46.09693836678012,996091.1774227779,4695.47156474102,312,
72,23928.0456354673,112.49851945047268,11964.02281773365,56.24925972523634,1020019.2230582451,4807.970084191493,314,
73,34976.409075635405,183.80420840136236,11658.803025211802,61.26806946712079,1054995.6321338806,4991.774292592855,317,
74,16566.784152841727,88.35618214848921,5522.261384280576,29.45206071616307,1071562.4162867223,5080.130474741344,320,
75,15913.70799499526,73.3584184360238,15913.70799499526,73.3584184360238,1087476.1242817175,5153.488893177368,321,
76,27270.6947436024,109.08277897440959,27270.6947436024,109.08277897440959,1114746.8190253198,5262.571672151777,322,
77,24099.74256796817,131.24459483781158,24099.74256796817,131.24459483781158,1138846.5615932879,5393.816266989589,323,
78,49285.211668308504,271.9267890144091,24642.605834154252,135.96339450720455,1188131.7732615964,5665.743056003998,325,
79,22425.603634793206,124.58668685996224,11212.801817396603,62.29334342998112,1210557.3768963898,5790.329742863961,327,
80,24778.1757075012,127.7508080372744,24778.1757075012,127.7508080372744,1235335.552603891,5918.080550901235,328,
